DEPARTAMENTO,CENSO
"BOGOTA, D.C.",7412566
ANTIOQUIA,6407102
VALLE DEL CAUCA,4475886
CUNDINAMARCA,2919060
ATLANTICO,2535517
SANTANDER,2184837
BOLIVAR,2070110
CORDOBA,1784783
NARINO,1630592
NORTE DE SANTANDER,1491689
CAUCA,1464488
MAGDALENA,1341746
TOLIMA,1330187
CESAR,1200574
BOYACA,1217376
HUILA,1100386
META,1039722
CALDAS,998255
RISARALDA,943401
SUCRE,904863
LA GUAJIRA,880560
CHOCO,534826
QUINDIO,539904
CASANARE,420504
CAQUETA,401849
PUTUMAYO,348182
ARAUCA,262174
"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",61280
AMAZONAS,76589
GUAVIARE,82767
VAUPES,40797
GUAINIA,48114
VICHADA,107808
